Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-06-04,1633,,650,1045,1913,975,621,2138,
2012-07-06,6246,,2607,4670,8222,3972,1019,5724,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-02-14,318,,0,186,504,243,9,1,
2012-05-20,5255,,1663,2730,4462,2182,4241,5539,
2012-06-27,3141,,1322,2142,4211,2134,536,2897,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-03-06,2755,,1897,2020,3768,2324,1312,4936,
2012-01-29,87,,1,65,132,40,7,0,
2012-01-06,6097,,2604,4110,7175,3895,1692,6595,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-12-07,6179,,2371,3772,7200,3687,2433,5140,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-06-09,5883,,2883,3967,7511,4014,1498,4732,
2012-05-10,4151,,1977,2799,4688,2844,1035,4088,
2012-03-19,1821,,1024,1278,2581,1609,506,2058,
2012-09-20,5260,,2496,3615,6348,3991,1391,5119,
2012-08-28,5817,,2794,3966,6313,3420,1629,4720,
2012-10-01,397,,3,238,563,275,18,241,
2012-03-10,4685,,2377,3191,5475,3415,858,3941,
2012-05-02,72,,0,46,133,54,7,0,
2012-12-04,3064,,1483,2306,4076,2280,590,3213,
2012-02-23,397,,10,293,528,329,22,13,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-03-24,753,,336,517,1001,635,277,1035,
2012-03-25,520,,243,309,691,427,145,723,
2012-09-23,2314,,1093,1496,2572,1470,984,3321,
2012-07-26,5560,,2043,4174,6476,3208,1595,4383,
2012-06-05,3411,,1525,1815,3346,1879,2036,4633,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-07-15,3035,,1060,1798,3437,1449,2034,3545,
2012-12-02,78,,0,36,91,53,5,0,
2012-09-19,4653,,2351,3176,5746,3738,840,4189,
2012-09-03,371,,8,279,575,268,8,38,
2012-01-26,306,,0,215,495,191,0,1,
2012-04-07,5153,,2038,3591,5814,3070,1246,4493,
2012-03-11,844,,380,612,1137,713,105,1302,
2012-02-19,169,,3,110,205,113,13,2,
2012-10-30,2887,,1251,2007,3516,2255,338,2790,
2012-08-25,4242,,1305,2358,4126,1726,2558,4833,
2012-10-15,3292,,1678,2165,4197,2754,560,3183,
2012-06-17,4638,,1552,2082,4108,2020,3453,5128,
2012-02-16,386,,1,212,569,295,10,0,
2012-04-27,1986,,743,1526,2586,1298,139,1899,
