IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
603;Ремень Класика;black;;L;100;17.3
276;Платье Ночная Жизнь;black;;XS;100;65.4
626;Ремень Строчка;brown;;S;100;11.62
327;Нижнее белье Ночь Морозных Узоров;black;;XL;100;21.21
287;Платье Красная Фея;red;;S;99;58.13
365;Футболка Мужская Чистота;white;;M;100;11.62
458;Спортивный Костюм Вечерний Спорт;white;;L;100;39.24
329;Нижнее белье Ночь Морозных Узоров;black;;M;100;21.21
202;Штаны Полосатый Рейс;blue;;XL;100;29.06
400;Футболка Женский Соблазн;white;;XS;100;12.34
213;Штаны Жизнь в Абстракции;redblue;;M;100;27.61
531;Туфли Ультра Лайн;white;36.0;;100;40.69
435;Спортивный Костюм Элегантность в Ночи;black;;M;100;36.78
615;Ремень Элегантность;brown;;XS;100;10.61
384;Футболка Женская Ночь;black;;S;100;11.03
374;Футболка Женская Чистота;white;;M;100;10.89
355;Нижнее белье Ночь наступает;black;;XS;100;22.66
383;Футболка Женская Ночь;black;;M;100;11.03
393;Футболка Мужской Огонь;red;;S;100;11.32
294;Нижнее белье Морская Волна;see;;XS;100;18.88
543;Туфли Ультра Лайн;flowers;35.0;;100;40.69
209;Штаны Жизнь в Абстракции;redblue;;L;99;27.61
293;Нижнее белье Морская Волна;see;;XL;100;18.88
235;Штаны Цветочная Поляна;white;;XS;100;31.97
291;Нижнее белье Морская Волна;see;;L;100;18.88
203;Штаны Полосатый Рейс;blue;;XS;100;29.06
499;Туфли Вечерняя Бабочка;purple;38.0;;100;43.6
227;Штаны Цветочная Поляна;purple;;XL;100;31.97
186;Штаны Полосатый Рейс;green;;L;100;29.06
605;Ремень Класика;black;;XL;100;17.3
524;Туфли Ультра Лайн;jeans;36.0;;100;40.69
532;Туфли Ультра Лайн;white;37.0;;100;40.69
181;Штаны Полосатый Рейс;purple;;XL;100;29.06
242;Штаны Цветочная Поляна;red;;XS;100;31.97
363;Футболка Мужская Чистота;white;;XL;100;11.62
624;Ремень Строчка;brown;;XS;100;11.62
639;Ремень Грубая Кожа;brown;;L;100;10.39
489;Туфли Летняя Легкость;white;37.0;;100;29.06
191;Штаны Полосатый Рейс;green;;S;100;29.06
354;Нижнее белье Ночь наступает;black;;XL;100;22.66
361;Футболка Мужская Чистота;white;;L;100;11.62
257;Платье Модница на Прогулке;blue;;XL;100;72.67
399;Футболка Женский Соблазн;white;;XL;100;12.34
388;Футболка Мужской Огонь;red;;L;100;11.32
408;Спортивный Костюм Нежная Теплота;azure;;XL;100;33.87
184;Штаны Полосатый Рейс;purple;;S;100;29.06
338;Нижнее белье Огонек в Ночи;black;;M;100;21.79
630;Ремень Плетение;red;;L;100;10.9
318;Нижнее белье Интимный Вечер;black;;XL;100;17.43
498;Туфли Вечерняя Бабочка;purple;37.0;;100;43.6
633;Ремень Плетение;red;;XS;100;10.9
370;Футболка Женская Чистота;white;;L;100;10.89
463;Спортивный Костюм Вечерний Спорт;white;;S;100;39.24
295;Нижнее белье Морская Волна;see;;M;100;18.88
278;Платье Ночная Жизнь;black;;S;100;65.4
325;Нижнее белье Ночь Морозных Узоров;black;;L;100;21.21
211;Штаны Жизнь в Абстракции;redblue;;XL;100;27.61
241;Штаны Цветочная Поляна;red;;XL;100;31.97
506;Пантолеты Кости на Пляже;black;36.0;;100;13.07
218;Штаны Жизнь в Абстракции;orangered;;XL;100;27.61
336;Нижнее белье Огонек в Ночи;black;;XL;100;21.79
449;Спортивный Костюм Дыхание Спорта;white;;L;100;38.23
346;Нижнее белье Розовое Смущенье;pink;;XS;100;17.43
225;Штаны Цветочная Поляна;purple;;L;100;31.97
219;Штаны Жизнь в Абстракции;orangered;;XS;99;27.61
444;Спортивный Костюм Розовый Вихрь;pink;;M;100;37.36
569;Ремень Радуга;see;;XS;100;5.67
436;Спортивный Костюм Элегантность в Ночи;black;;S;100;36.78
585;Ремень Радуга;blue;;S;100;5.67
575;Ремень Радуга;pink;;XL;100;5.67
264;Платье Весенняя Легкость;purple;;L;100;43.6
562;Ремень Радуга;purple;;XS;100;5.67
590;Ремень Радуга;brown;;XS;100;5.67
183;Штаны Полосатый Рейс;purple;;M;100;29.06
277;Платье Ночная Жизнь;black;;M;100;65.4
406;Спортивный Костюм Нежная Теплота;azure;;L;100;33.87
304;Нижнее белье Белая Свобода;white;;M;100;20.34
533;Туфли Ультра Лайн;white;38.0;;100;40.69
582;Ремень Радуга;blue;;XL;100;5.67
337;Нижнее белье Огонек в Ночи;black;;XS;100;21.79
243;Штаны Цветочная Поляна;red;;M;100;31.97
548;Туфли Ультра Лайн;flowers;39.0;;100;40.69
397;Футболка Женский Соблазн;white;;L;100;12.34
